id,question,option_a,option_b,option_c,option_d,correct_answer,difficulty,concept,explanation,hint
47,What does 'Epoch' mean in training?,One batch processed,One forward pass,One backward pass,The entire dataset passed forward and backward once,D,0.2,Optimization,One Epoch means the model has seen every example in the training dataset once.,An epoch means the model has seen every training example once. Think about what 'one complete pass' means.
48,Why do we use 'One-Hot Encoding'?,To normalize data,To convert categorical variables to numerical,To reduce overfitting,To initialize weights,B,0.3,Preprocessing,It converts categorical data into a format that ML algorithms can use efficiently.,One-Hot Encoding converts categorical variables into a binary format that ML algorithms can process.
49,Confusion Matrix is strictly used for?,Regression tasks,Classification tasks,Clustering tasks,Reinforcement Learning,B,0.2,Metrics,It is a table used to describe the performance of a classification model.,True Positive means the model correctly predicted the positive class. Think about what 'True' and 'Positive' mean.
50,Which algorithm uses a 'centroid' concept?,Decision Tree,Linear Regression,K-Means,Naive Bayes,C,0.3,Unsupervised,K-Means iteratively updates the position of cluster centroids.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
51,"In a neural network with batch normalization, what happens to the variance of activations during training?",Variance increases exponentially,Variance remains constant,Variance is normalized to approximately 1,Variance decreases linearly,C,0.65,Neural Networks,"Batch normalization normalizes activations by subtracting the mean and dividing by the standard deviation, effectively keeping variance around 1 and mean around 0.",Batch normalization standardizes activations. Think about what 'normalization' means for variance.
52,What is the primary advantage of using attention mechanisms in Transformers over RNNs?,Faster training speed,Better parallelization and handling of long-range dependencies,Lower memory requirements,Simpler architecture,B,0.7,Neural Networks,"Attention mechanisms allow parallel processing of all positions and can directly model long-range dependencies without sequential processing, unlike RNNs.",Attention mechanisms process all positions simultaneously. Consider the difference between sequential (RNN) and parallel processing.
53,"In gradient boosting, what is the purpose of the learning rate (shrinkage parameter)?",To increase model complexity,To prevent overfitting by scaling down each tree's contribution,To speed up convergence,To reduce computational cost,B,0.65,Supervised,"The learning rate (shrinkage) scales down each tree's contribution, making the model learn more slowly and reducing overfitting.","Shrinkage means making something smaller. In gradient boosting, it controls how much each new tree contributes."
54,What is the computational complexity of the forward pass in a Transformer with sequence length n and hidden dimension d?,O(n),O(n²d),O(nd),O(n²),B,0.75,Theory,"Self-attention computes attention scores for all pairs of positions (n² operations), each involving d-dimensional vectors, resulting in O(n²d) complexity.",Self-attention computes relationships between all position pairs. Count the operations: n positions × n positions × d dimensions.
55,"In variational autoencoders (VAE), what does the KL divergence term in the loss function enforce?",Reconstruction accuracy,Regularization of the latent space distribution,Discriminator training,Feature extraction,B,0.7,Unsupervised,"The KL divergence term ensures the learned latent distribution matches a prior (usually standard normal), regularizing the latent space.","KL divergence measures how different two distributions are. In VAE, it compares the learned latent distribution to a prior distribution."
56,What is the main difference between dropout and batch normalization in terms of when they are applied?,"Dropout is only for training, batch norm works in both training and inference",Both work identically in training and inference,"Batch norm is only for training, dropout works in both",They are applied at different layers,A,0.65,Neural Networks,Dropout randomly zeros neurons during training but is disabled during inference. Batch normalization uses different statistics (batch vs. running average) but is active in both modes.,Dropout randomly disables neurons. Think about when this behavior is needed (training vs. inference).
57,"In reinforcement learning, what problem does the credit assignment problem refer to?",Determining which actions led to rewards,Balancing exploration and exploitation,Handling sparse rewards,Computing Q-values,A,0.7,Theory,"The credit assignment problem is about determining which actions in a sequence were responsible for the final reward, especially when rewards are delayed.","Credit assignment means giving credit where it's due. In RL, this means identifying which actions caused the reward."
58,What is the key insight behind the Wasserstein GAN (WGAN) compared to standard GAN?,Using a different generator architecture,Replacing JS divergence with Wasserstein distance for more stable training,Adding more discriminator layers,Using different activation functions,B,0.75,Unsupervised,"WGAN uses Wasserstein distance instead of JS divergence, which provides smoother gradients and more stable training, especially when distributions don't overlap.",WGAN addresses training instability. The key change is in the distance metric used to measure how different distributions are.
59,"In meta-learning, what does MAML (Model-Agnostic Meta-Learning) optimize for?",Task-specific parameters,Initial parameters that can be quickly adapted to new tasks,Hyperparameters,Loss functions,B,0.8,Theory,"MAML finds initial parameters that, after a few gradient steps on a new task, perform well on that task. It optimizes for fast adaptation.",Meta-learning means learning to learn. MAML finds parameters that can quickly adapt (learn) to new tasks.
60,What is the primary reason for using residual connections in deep neural networks?,To reduce model size,To enable training of very deep networks by addressing vanishing gradients,To increase model capacity,To speed up inference,B,0.65,Neural Networks,"Residual connections create shortcuts that allow gradients to flow directly through, preventing vanishing gradients and enabling training of very deep networks.","Residual means 'remaining' or 'leftover'. Residual connections add the input to the output, creating a direct path for information flow."
61,"In contrastive learning, what is the purpose of negative samples?",To increase training data,To learn representations by contrasting similar and dissimilar examples,To reduce overfitting,To balance classes,B,0.7,Unsupervised,"Negative samples (dissimilar examples) are used to push apart representations of different classes, while positive samples pull similar examples together.",Contrastive means comparing differences. Negative samples help the model learn what NOT to group together.
62,What does the reparameterization trick in VAEs enable?,Faster inference,Backpropagation through stochastic sampling,Better reconstruction,Reduced memory usage,B,0.75,Unsupervised,"The reparameterization trick separates the stochastic part (sampling) from the deterministic part, allowing gradients to flow through the sampling operation via backpropagation.","Reparameterization means rewriting something in a different form. In VAE, it separates randomness from learnable parameters."
63,"In federated learning, what is the main challenge addressed by differential privacy?",Communication efficiency,Privacy preservation while maintaining model utility,Model convergence,Computational cost,B,0.8,Theory,Differential privacy adds noise to protect individual data privacy while still allowing the model to learn useful patterns from aggregated updates.,Differential privacy protects individual privacy. Think about how to learn from data without revealing information about specific individuals.
64,What is the key difference between hard attention and soft attention mechanisms?,Hard attention is faster,"Hard attention selects discrete positions, soft attention uses weighted combinations",Soft attention is more accurate,They use different activation functions,B,0.7,Neural Networks,"Hard attention selects specific positions (discrete), while soft attention computes weighted combinations of all positions (continuous and differentiable).","Hard means discrete/categorical, soft means continuous/probabilistic. Think about how each selects which positions to focus on."
65,"In knowledge distillation, what is the role of temperature scaling?",To speed up training,To soften the probability distribution for better knowledge transfer,To reduce model size,To increase accuracy,B,0.75,Theory,"Temperature scaling softens the teacher model's probability distribution, making it easier for the student to learn the relative relationships between classes.","Temperature in probability distributions makes them smoother (higher temp) or sharper (lower temp). In distillation, we want smoother distributions."
66,What is the computational advantage of using separable convolutions in depthwise separable convolution?,Better feature extraction,Reduced parameters and operations compared to standard convolution,Higher accuracy,Simpler implementation,B,0.7,Neural Networks,"Depthwise separable convolution splits standard convolution into depthwise and pointwise operations, significantly reducing computational cost and parameters.",Separable means breaking something into parts. Separable convolution splits the operation to reduce computation.
67,"In few-shot learning, what does the support set represent?",Test examples,Training examples for a new task,Validation examples,Pre-training data,B,0.75,Theory,"In few-shot learning, the support set contains the few labeled examples provided for a new task, used to adapt the model quickly.","Support means help or foundation. In few-shot learning, the support set provides the few examples needed to learn a new task."
68,What is the primary purpose of the discriminator in a GAN?,To generate samples,"To distinguish between real and fake samples, providing training signal",To encode data,To reduce dimensionality,B,0.65,Unsupervised,"The discriminator acts as a critic, learning to distinguish real from generated samples, which provides the adversarial signal to train the generator.",Discriminate means to tell apart. The discriminator learns to tell real and fake samples apart.
69,"In neural architecture search (NAS), what is the main challenge of the search space?",Computational cost,The exponential size of possible architectures,Lack of training data,Overfitting,B,0.8,Theory,"The search space of possible neural architectures is exponentially large, making exhaustive search infeasible and requiring efficient search strategies.","Search space means all possible options. In NAS, there are countless ways to design a network, making the space huge."
70,What is the key innovation of the Transformer architecture compared to RNNs?,Using attention instead of recurrence,Using convolutional layers,Using dropout,Using batch normalization,A,0.7,Neural Networks,"Transformers replace recurrence (sequential processing) with self-attention mechanisms, enabling parallel processing and better handling of long-range dependencies.",Transformers don't process sequences step-by-step like RNNs. They use attention to process all positions at once.
71,"In reinforcement learning, what does the exploration-exploitation trade-off refer to?",Choosing between different algorithms,Balancing trying new actions vs. using known good actions,Selecting hyperparameters,Training vs. inference,B,0.65,Theory,"Exploration means trying new actions to discover potentially better strategies, while exploitation means using known good actions. The trade-off is fundamental to RL.","Exploration is about discovering new things, exploitation is about using what you know works. RL needs to balance both."
72,What is the primary advantage of using group normalization over batch normalization?,Better accuracy,Stable performance with small batch sizes,Faster training,Lower memory usage,B,0.75,Neural Networks,"Group normalization normalizes across groups of channels rather than batches, making it independent of batch size and stable even with batch size 1.",Group normalization doesn't depend on batch size. Think about when batch size is small or variable.
73,"In contrastive learning with SimCLR, what is the role of data augmentation?",To increase dataset size,To create positive pairs for contrastive learning,To reduce overfitting,To balance classes,B,0.8,Unsupervised,"Data augmentation creates different views of the same image, which serve as positive pairs that should have similar representations in contrastive learning.","In SimCLR, augmented versions of the same image should be similar. Think about what makes a positive pair."
74,What is the computational complexity of training a standard RNN for a sequence of length n?,O(n),O(n²),O(n log n),O(1),A,0.65,Theory,"RNNs process sequences sequentially, one time step at a time, resulting in O(n) time complexity for a sequence of length n.","RNNs process sequences step by step. Each step takes constant time, so n steps take O(n) time."
75,"In transfer learning, what is fine-tuning?",Training from scratch,Adjusting pre-trained model parameters on a new task,Selecting hyperparameters,Data preprocessing,B,0.7,Theory,"Fine-tuning involves taking a pre-trained model and continuing training (adjusting weights) on a new, typically related task with a smaller learning rate.","Fine-tuning means making small adjustments. In transfer learning, you start with a pre-trained model and make small adjustments for a new task."
76,What is the key difference between supervised and self-supervised learning?,Self-supervised uses more data,Self-supervised generates labels from the data itself,Supervised is faster,They use different architectures,B,0.75,Theory,"Self-supervised learning creates supervisory signals from the data structure itself (e.g., predicting masked words, next frame), without human-annotated labels.","Self-supervised means the supervision comes from the data itself, not from external labels. Think about how labels are created."
77,"In neural machine translation, what problem does the attention mechanism solve?",Overfitting,Information bottleneck in encoder-decoder architectures,Vanishing gradients,Slow training,B,0.8,Neural Networks,"Attention allows the decoder to directly access all encoder hidden states, solving the bottleneck problem where all information was compressed into a single context vector.","Without attention, all information must pass through a single bottleneck. Attention provides direct access to all information."
78,"What is the primary purpose of the query, key, and value vectors in self-attention?",To reduce parameters,To compute attention weights and weighted feature representations,To speed up computation,To prevent overfitting,B,0.85,Neural Networks,"Query and key compute attention weights (how much to attend), while value contains the actual information to be aggregated based on those weights.","Query asks 'what am I looking for?', key answers 'what do I have?', value is 'what information do I provide?'"
79,"In adversarial training, what is the goal of adding adversarial examples to training?",To increase accuracy,To improve robustness against adversarial attacks,To speed up training,To reduce model size,B,0.75,Neural Networks,"Adversarial training exposes the model to adversarial examples during training, teaching it to be robust against such attacks.",Adversarial examples are designed to fool the model. Training on them helps the model become resistant to such attacks.
80,What is the key insight behind the success of residual networks (ResNets)?,Using more layers,Learning residual mappings makes optimization easier,Using better activation functions,Reducing parameters,B,0.7,Neural Networks,"ResNets learn residual (difference) mappings rather than direct mappings, making it easier to learn identity functions and enabling training of very deep networks.","Residual means the difference or remainder. ResNets learn what to add to the input, not what the output should be directly."
81,"In graph neural networks (GNNs), what does message passing refer to?",Sending data between layers,Aggregating information from neighboring nodes,Training communication,Data preprocessing,B,0.8,Neural Networks,"Message passing in GNNs involves nodes aggregating information from their neighbors, allowing each node to incorporate structural and feature information from its local graph neighborhood.","In graphs, nodes are connected. Message passing means nodes share information with their neighbors."
82,What is the primary challenge in training GANs that WGAN addresses?,Slow convergence,Training instability and mode collapse,High memory usage,Overfitting,B,0.75,Unsupervised,Standard GANs suffer from training instability and mode collapse. WGAN uses Wasserstein distance which provides more stable gradients and better training dynamics.,GANs are notoriously difficult to train. WGAN specifically addresses the instability and mode collapse problems.
83,"In few-shot learning with prototypical networks, what does a prototype represent?",A single example,The mean embedding of support examples for a class,A hyperparameter,A loss function,B,0.8,Theory,"A prototype is the average (mean) of the embedded support examples for each class, representing the class center in the embedding space.","Prototype means a typical example. In prototypical networks, it's the average representation of all examples in a class."
84,What is the key difference between in-context learning and fine-tuning in large language models?,"In-context learning updates weights, fine-tuning doesn't",In-context learning uses examples in the prompt without weight updates,Fine-tuning is faster,They use different architectures,B,0.85,Theory,"In-context learning provides examples in the input prompt and the model learns from them without updating weights, while fine-tuning actually modifies model parameters.",In-context means within the context (prompt). In-context learning uses examples in the prompt without changing the model.
85,"In neural architecture search, what is the difference between one-shot and multi-shot NAS?","One-shot trains one architecture, multi-shot trains multiple","One-shot uses a supernet, multi-shot trains each architecture separately",Multi-shot is faster,They use different search spaces,B,0.9,Theory,"One-shot NAS trains a supernet (overparameterized network) once and evaluates sub-networks by sharing weights, while multi-shot trains each architecture from scratch.","One-shot means doing it once. In NAS, one-shot trains a supernet once and evaluates many architectures from it."
86,What is the primary advantage of using layer normalization over batch normalization in Transformers?,Better accuracy,Sequence-length independent normalization,Faster training,Lower memory,B,0.75,Neural Networks,"Layer normalization normalizes across features for each sample independently, making it work consistently regardless of batch size or sequence length.","Layer norm normalizes within each sample, not across samples. Think about why this matters for sequences of different lengths."
87,"In reinforcement learning, what does the policy gradient theorem enable?",Value function estimation,Direct gradient-based optimization of policy parameters,Q-learning,Exploration strategies,B,0.8,Theory,"The policy gradient theorem provides a way to compute gradients of the expected return with respect to policy parameters, enabling direct policy optimization.",Policy gradient means optimizing the policy directly using gradients. The theorem shows how to compute these gradients.
88,What is the key innovation of BERT's masked language modeling objective?,Using bidirectional context,Predicting masked tokens using both left and right context,Using attention,Using transformers,B,0.8,NLP,"BERT's masked language modeling allows the model to use both left and right context to predict masked tokens, enabling true bidirectional understanding unlike previous left-to-right models.",BERT can look at both sides of a masked word. Previous models could only look left (or right).
89,"In contrastive learning, what is the temperature parameter's role in the contrastive loss?",To control learning rate,"To scale the similarity scores, controlling how hard the contrastive task is",To balance positive and negative pairs,To reduce overfitting,B,0.75,Unsupervised,"Temperature scales the similarity scores in the softmax, with lower temperatures making the distribution sharper (harder negatives) and higher temperatures making it softer.",Temperature in probability distributions controls sharpness. Lower temperature = sharper = harder to distinguish.
90,What is the computational advantage of using flash attention in Transformers?,Better accuracy,Reduced memory usage and faster computation by avoiding materializing full attention matrix,Simpler implementation,Lower parameters,B,0.9,Neural Networks,"Flash attention computes attention in blocks without storing the full attention matrix, reducing memory from O(n²) to O(n) and enabling longer sequences.",Flash attention avoids storing the full attention matrix. Think about the memory savings for long sequences.
